event_date,event_name,,,,,,,,,,,,,
8/31/2013,"Charity ""Stuff"" Drive for Global Thrift: We Are Erased/ Gomorrah/Milgram/ More TBA booked by BexZilla & Aaron Saye",,,,,,,,,,,,,
9/1/2013,Guilty By Association / Murder Hat / Engage The Hammer / Deadwolf,,,,,,,,,,,,,
9/3/2013,Traitor / Buzzkiller / Night of the Living Shred / The Crack Horse,,,,,,,,,,,,,
9/4/2013,The Dread Crew of Oddwood / Dreadnought / Blind Man Deaf Boy / Solarfall,,,,,,,,,,,,,
9/6/2013,The Atom Age / WhiteCatPink / RBM / Rockin' Rascals,,,,,,,,,,,,,
9/7/2013,Greedy Mouth / It's For A Cop / Rhogog / DethNDK / Lipstick Homicide,,,,,,,,,,,,,
9/8/2013,RFLX5280 Fashion Expo thing - Public Display of Aggression / The Windermeres / Cleric Heaven's Heathen / Ultra Sex Laser / Orpheo and the Wrench,,,,,,,,,,,,,
9/9/2013,Greedy Mouth / Downfall of Gaia / Black Table / Flight of Sleipnir / Stillborn Fawn,,,,,,,,,,,,,
9/10/2013,Stolas / Strawberry Girls  / Eat the Sun / Boats Without Oars / Le Batards,,,,,,,,,,,,,
9/11/2013,Hoax / Negative Degree / Civilized / Low Tax,,,,,,,,,,,,,
9/12/2013,Hashtronaut / Hoopsnake  / Bulletproof Tiger  / Cloud Catcher / Titan Arum,,,,,,,,,,,,,
9/16/2013,The Forum Walters  / Current Youth  / National Blues Arsenal  / more TBA,,,,,,,,,,,,,
9/17/2013,El Rancho  / Shaun Peace Band  / Shrimp Train  / Bishop ,,,,,,,,,,,,,
9/18/2013,Potato Pirates / Dirty Kid Discount / Daze n Days / Matt Pless / Screaming Queens / Blind Man Deaf Boy,,,,,,,,,,,,,
9/19/2013,Bossillator / Aeromona / Stephen Pino / Electrobolts / DiscoIsDead,,,,,,,,,,,,,
9/20/2013,Call of the Void tour kickoff / Stoic Dissention / Stillborn Fawn / Catholic Girls / Locked In,,,,,,,,,,,,,
9/21/2013,MakingFuck  / Cloud Catcher / Whilt / Khemmis,,,,,,,,,,,,,
9/22/2013,RVIVR / Chase Ambler / Living Alone / Dangerous Nonsense,,,,,,,,,,,,,
9/23/2013,Ruptures  / The Sheds  / Comeback  / Postcards / Denver Port Authority / Finding Common Ground,,,,,,,,,,,,,
9/24/2013,Whenskiesaregrey / SNAFU / Muscle Beach ,,,,,,,,,,,,,
9/25/2013,Bryan McPherson  / Broken Bow  / Ben Kellogg / The Reality Show  / Jensen Harper ,,,,,,,,,,,,,
9/26/2013,Still Sky's The Limit  / The Widowhood Effect  / Robbie Freeman  / Bloom Creation  / They As In Them ,,,,,,,,,,,,,
9/27/2013,Titan Arum / Angelic Desolation  / Cloud Catcher / Centuries/Pray Teeth  / Valensorow  / Vomit Slaughter / Gomorrah,,,,,,,,,,,,"After7pm, before 8:30pm = 7:45 / Hammer Mountain = 4:00",Booked by Aaron Saye and Kayla Schneider
9/28/2013,7th Circle 1-year anniversary party / show!!!! Suspects / False Colours  / All Waffle Trick / Plan B Rejects / The Rockin Rascals / Smack Saturday / Morgan Freeman and Tim Robbins  / Jack's Smirking Revenge / PxP / Kult of Skaro / Hammer Mountain,,,,,,,,,,,,,
9/29/2013,"Helping Hands Benefit show, lineup TBA",,,,,,,,,,,,,
9/30/2013,Hard Core Porn  / 4 Dead Punks  / Keep Kalm / The Revo ,,,,,,,,,,,,,
10/1/2013,Kristen Ford  / The Backseaters  / Apollo  / Jack's Smirking Revenge,,,,,,,,,,,,,
10/3/2013,Darto  / Swells / Callow  / GOG  ,,,,,,,,,,,,,
10/4/2013,Coming  / Shining Path  / DNDK ,,,,,,,,,,,,,
10/6/2013,Former Friends of Young Americans  / Geoff Baker  / Lunar Light Parade  / Talk All Night  / Jeb Draper ,,,,,,,,,,,,,
